load_ts,time,user
2022-12-16 18:42:00.000,00:01:34,Hepzibar
2022-12-16 21:32:00.000,00:00:59,UmbilicusProfundus
2022-12-16 22:24:00.000,00:00:56,MarmiteWine
2022-12-17 00:59:00.000,00:00:40,Sunbird24
2022-12-17 01:12:00.000,00:01:33,Floralnomad
2022-12-17 07:32:00.000,00:02:13,Hepzibar
2022-12-17 07:37:00.000,00:01:17,Readytostartagain
2022-12-17 07:54:00.000,00:02:47,Stokey
2022-12-17 07:57:00.000,00:00:57,JoyDivisionOvenGlovesx
2022-12-17 08:31:00.000,00:01:12,oviraptor21
2022-12-17 08:39:00.000,00:01:45,UmbilicusProfundus
2022-12-17 08:40:00.000,00:01:42,Drywhitefruitycidergin
2022-12-17 08:52:00.000,00:01:46,DadDadDad
2022-12-17 16:53:00.000,00:02:43,MarmiteWine
2022-12-17 16:54:00.000,00:04:37,hoochyhag
2022-12-18 00:17:00.000,00:00:49,Sunbird24
2022-12-18 00:26:00.000,00:02:03,Drywhitefruitycidergin
2022-12-18 01:08:00.000,00:01:02,Floralnomad
2022-12-18 07:36:00.000,00:01:08,Swissnotswiss
2022-12-18 08:14:00.000,00:01:41,Hepzibar
2022-12-18 08:19:00.000,00:02:33,DadDadDad
2022-12-18 08:31:00.000,00:01:51,Readytostartagain
2022-12-18 08:36:00.000,00:02:45,BlandSoup
2022-12-18 09:37:00.000,00:00:56,JoyDivisionOvenGlovesx
2022-12-18 11:12:00.000,00:01:57,Stokey
2022-12-18 11:24:00.000,00:00:57,MarmiteWine
2022-12-18 19:39:00.000,00:01:35,oviraptor21
2022-12-19 00:25:00.000,00:01:10,Drywhitefruitycidergin
2022-12-19 01:40:00.000,00:00:53,Floralnomad
2022-12-19 05:01:00.000,00:00:44,Sunbird24
2022-12-19 08:15:00.000,00:01:30,DadDadDad
2022-12-19 08:34:00.000,00:01:16,Readytostartagain
2022-12-19 08:35:00.000,00:00:53,JoyDivisionOvenGlovesx
2022-12-19 08:39:00.000,00:01:14,MarmiteWine
2022-12-19 08:54:00.000,00:01:52,Hepzibar
2022-12-19 09:41:00.000,00:08:39,oviraptor21
2022-12-19 11:06:00.000,00:08:34,Stokey
2022-12-19 11:47:00.000,00:01:16,Swissnotswiss
2022-12-20 00:26:00.000,00:00:55,Sunbird24
2022-12-20 01:15:00.000,00:00:53,Welshwabbit
2022-12-20 01:21:00.000,00:01:24,Floralnomad
2022-12-20 01:42:00.000,00:01:10,oviraptor21
2022-12-20 07:29:00.000,00:02:10,Stokey
2022-12-20 07:58:00.000,00:01:22,Hepzibar
2022-12-20 08:05:00.000,00:01:30,DadDadDad
2022-12-20 08:10:00.000,00:07:09,BlandSoup
2022-12-20 08:35:00.000,00:01:26,Readytostartagain
2022-12-20 09:41:00.000,00:00:49,JoyDivisionOvenGlovesx
2022-12-20 17:18:00.000,00:06:15,hoochyhag
2022-12-20 20:34:00.000,00:01:08,MarmiteWine
2022-12-21 00:02:00.000,00:03:21,Drywhitefruitycidergin
2022-12-21 00:26:00.000,00:00:44,Sunbird24
2022-12-21 00:54:00.000,00:01:33,Floralnomad
2022-12-21 01:19:00.000,00:01:34,LikeTearsInRain
2022-12-21 07:50:00.000,00:01:11,BlandSoup
2022-12-21 08:16:00.000,00:00:49,JoyDivisionOvenGlovesx
2022-12-21 08:19:00.000,00:01:22,Stokey
2022-12-21 08:24:00.000,00:01:17,Readytostartagain
2022-12-21 08:47:00.000,00:03:00,Hepzibar
2022-12-21 08:50:00.000,00:01:29,DadDadDad
2022-12-21 10:56:00.000,00:00:52,MarmiteWine
2022-12-21 10:57:00.000,00:00:58,oviraptor21
2022-12-21 16:07:00.000,00:05:08,hoochyhag
2022-12-22 00:25:00.000,00:04:38,Drywhitefruitycidergin
2022-12-22 00:42:00.000,00:02:35,Floralnomad
2022-12-22 06:58:00.000,00:01:27,JoyDivisionOvenGlovesx
2022-12-22 07:18:00.000,00:01:23,Sunbird24
2022-12-22 07:22:00.000,00:08:27,Swissnotswiss
2022-12-22 08:54:00.000,00:03:34,DadDadDad
2022-12-22 08:59:00.000,00:05:24,Stokey
2022-12-22 09:39:00.000,00:04:19,MarmiteWine
2022-12-22 10:14:00.000,00:01:44,oviraptor21
2022-12-22 17:11:00.000,00:05:35,Readytostartagain
2022-12-23 00:41:00.000,00:01:09,Floralnomad
2022-12-23 00:48:00.000,00:02:31,Drywhitefruitycidergin
2022-12-23 07:13:00.000,00:00:41,Sunbird24
2022-12-23 07:20:00.000,00:00:45,JoyDivisionOvenGlovesx
2022-12-23 07:42:00.000,00:01:26,oviraptor21
