load_ts,user,time
2022-12-18 01:08:00.000,Floralnomad,00:01:02
2022-12-18 07:36:00.000,Swissnotswiss,00:01:08
2022-12-18 08:14:00.000,Hepzibar,00:01:41
2022-12-18 08:19:00.000,DadDadDad,00:02:33
2022-12-18 08:31:00.000,Readytostartagain,00:01:51
2022-12-18 08:36:00.000,BlandSoup,00:02:45
2022-12-18 09:37:00.000,JoyDivisionOvenGlovesx,00:00:56
2022-12-18 11:12:00.000,Stokey,00:01:57
2022-12-18 11:24:00.000,MarmiteWine,00:00:57
2022-12-18 19:39:00.000,oviraptor21,00:01:35
2022-12-19 00:25:00.000,Drywhitefruitycidergin,00:01:10
2022-12-19 01:40:00.000,Floralnomad,00:00:53
2022-12-19 05:01:00.000,Sunbird24,00:00:44
2022-12-19 08:15:00.000,DadDadDad,00:01:30
2022-12-19 08:34:00.000,Readytostartagain,00:01:16
2022-12-19 08:35:00.000,JoyDivisionOvenGlovesx,00:00:53
2022-12-19 08:39:00.000,MarmiteWine,00:01:14
2022-12-19 08:54:00.000,Hepzibar,00:01:52
2022-12-19 09:41:00.000,oviraptor21,00:08:39
2022-12-19 11:06:00.000,Stokey,00:08:34
2022-12-19 11:47:00.000,Swissnotswiss,00:01:16
2022-12-20 00:26:00.000,Sunbird24,00:00:55
2022-12-20 01:15:00.000,Welshwabbit,00:00:53
2022-12-20 01:21:00.000,Floralnomad,00:01:24
2022-12-20 01:42:00.000,oviraptor21,00:01:10
2022-12-20 07:29:00.000,Stokey,00:02:10
2022-12-20 07:58:00.000,Hepzibar,00:01:22
2022-12-20 08:05:00.000,DadDadDad,00:01:30
2022-12-20 08:10:00.000,BlandSoup,00:07:09
2022-12-20 08:35:00.000,Readytostartagain,00:01:26
2022-12-20 09:41:00.000,JoyDivisionOvenGlovesx,00:00:49
2022-12-20 17:18:00.000,hoochyhag,00:06:15
2022-12-20 20:34:00.000,MarmiteWine,00:01:08
2022-12-21 00:02:00.000,Drywhitefruitycidergin,00:03:21
2022-12-21 00:26:00.000,Sunbird24,00:00:44
2022-12-21 00:54:00.000,Floralnomad,00:01:33
2022-12-21 01:19:00.000,LikeTearsInRain,00:01:34
2022-12-21 07:50:00.000,BlandSoup,00:01:11
2022-12-21 08:16:00.000,JoyDivisionOvenGlovesx,00:00:49
2022-12-21 08:19:00.000,Stokey,00:01:22
2022-12-21 08:24:00.000,Readytostartagain,00:01:17
2022-12-21 08:47:00.000,Hepzibar,00:03:00
2022-12-21 08:50:00.000,DadDadDad,00:01:29
2022-12-21 10:56:00.000,MarmiteWine,00:00:52
2022-12-21 10:57:00.000,oviraptor21,00:00:58
2022-12-21 16:07:00.000,hoochyhag,00:05:08
2022-12-22 00:25:00.000,Drywhitefruitycidergin,00:04:38
2022-12-22 00:42:00.000,Floralnomad,00:02:35
2022-12-22 06:58:00.000,JoyDivisionOvenGlovesx,00:01:27
2022-12-22 07:18:00.000,Sunbird24,00:01:23
2022-12-22 07:22:00.000,Swissnotswiss,00:08:27
2022-12-22 08:54:00.000,DadDadDad,00:03:34
2022-12-22 08:59:00.000,Stokey,00:05:24
2022-12-22 09:39:00.000,MarmiteWine,00:04:19
2022-12-22 10:14:00.000,oviraptor21,00:01:44
2022-12-22 17:11:00.000,Readytostartagain,00:05:35
2022-12-23 00:41:00.000,Floralnomad,00:01:09
2022-12-23 00:48:00.000,Drywhitefruitycidergin,00:02:31
2022-12-23 07:13:00.000,Sunbird24,00:00:41
2022-12-23 07:20:00.000,JoyDivisionOvenGlovesx,00:00:45
2022-12-23 07:42:00.000,oviraptor21,00:01:26
2022-12-23 07:58:00.000,DadDadDad,00:01:47
2022-12-23 08:07:00.000,Hepzibar,00:02:19
2022-12-23 08:29:00.000,UmbilicusProfundus,00:01:51
2022-12-23 08:52:00.000,LikeTearsInRain,00:02:50
2022-12-23 08:54:00.000,MarmiteWine,00:00:52
2022-12-23 13:53:00.000,Readytostartagain,00:00:59
2022-12-23 17:05:00.000,hoochyhag,00:09:47
2022-12-24 00:09:00.000,Sunbird24,00:00:39
2022-12-24 00:11:00.000,Drywhitefruitycidergin,00:02:39
